"Notes"	"Multiple Cause of death"	"Multiple Cause of death Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"65-74 years"	"65-74"	"Male"	"M"	299	9250872	3.2
	"Other synthetic narcotics"	"T40.4"	"Ohio"	"39"	"75-84 years"	"75-84"	"Male"	"M"	13	4995043	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"15-24 years"	"15-24"	"Female"	"F"	28	5707712	0.5
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"15-24 years"	"15-24"	"Male"	"M"	96	6095652	1.6
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Female"	"F"	113	5377979	2.1
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"25-34 years"	"25-34"	"Male"	"M"	221	5559363	4.0
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Female"	"F"	177	5308434	3.3
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"35-44 years"	"35-44"	"Male"	"M"	237	5346365	4.4
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Female"	"F"	242	5420510	4.5
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"45-54 years"	"45-54"	"Male"	"M"	190	5308917	3.6
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"55-64 years"	"55-64"	"Female"	"F"	165	4795744	3.4
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"55-64 years"	"55-64"	"Male"	"M"	89	4484461	2.0
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"65-74 years"	"65-74"	"Female"	"F"	41	3430156	1.2
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"65-74 years"	"65-74"	"Male"	"M"	19	2976991	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Oklahoma"	"40"	"75-84 years"	"75-84"	"Female"	"F"	11	2146013	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"15-24 years"	"15-24"	"Female"	"F"	18	5421812	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"15-24 years"	"15-24"	"Male"	"M"	94	5665038	1.7
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"25-34 years"	"25-34"	"Female"	"F"	55	5668467	1.0
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"25-34 years"	"25-34"	"Male"	"M"	166	5876385	2.8
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"35-44 years"	"35-44"	"Female"	"F"	102	5676903	1.8
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"35-44 years"	"35-44"	"Male"	"M"	148	5788074	2.6
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"45-54 years"	"45-54"	"Female"	"F"	99	5837255	1.7
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"45-54 years"	"45-54"	"Male"	"M"	84	5743538	1.5
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"55-64 years"	"55-64"	"Female"	"F"	55	5245356	1.0
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"55-64 years"	"55-64"	"Male"	"M"	67	4959679	1.4
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"65-74 years"	"65-74"	"Female"	"F"	19	3622318	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Oregon"	"41"	"65-74 years"	"65-74"	"Male"	"M"	10	3279691	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"15-24 years"	"15-24"	"Female"	"F"	359	18276066	2.0
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"15-24 years"	"15-24"	"Male"	"M"	793	18894168	4.2
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"25-34 years"	"25-34"	"Female"	"F"	1128	17162621	6.6
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"25-34 years"	"25-34"	"Male"	"M"	3064	17364516	17.6
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"35-44 years"	"35-44"	"Female"	"F"	994	18548198	5.4
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"35-44 years"	"35-44"	"Male"	"M"	2643	18257642	14.5
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"45-54 years"	"45-54"	"Female"	"F"	859	20115268	4.3
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"45-54 years"	"45-54"	"Male"	"M"	1883	19520001	9.6
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"55-64 years"	"55-64"	"Female"	"F"	482	17526095	2.8
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"55-64 years"	"55-64"	"Male"	"M"	1190	16412486	7.3
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"65-74 years"	"65-74"	"Female"	"F"	71	12625594	0.6
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"65-74 years"	"65-74"	"Male"	"M"	219	10736959	2.0
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"75-84 years"	"75-84"	"Female"	"F"	12	9033840	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Pennsylvania"	"42"	"75-84 years"	"75-84"	"Male"	"M"	17	6187722	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"15-24 years"	"15-24"	"Female"	"F"	30	1699336	1.8
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"15-24 years"	"15-24"	"Male"	"M"	84	1714929	4.9
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"25-34 years"	"25-34"	"Female"	"F"	106	1504345	7.0
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"25-34 years"	"25-34"	"Male"	"M"	305	1499459	20.3
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"35-44 years"	"35-44"	"Female"	"F"	93	1608489	5.8
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"35-44 years"	"35-44"	"Male"	"M"	271	1549931	17.5
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"45-54 years"	"45-54"	"Female"	"F"	95	1713094	5.5
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"45-54 years"	"45-54"	"Male"	"M"	238	1610851	14.8
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"55-64 years"	"55-64"	"Female"	"F"	54	1430559	3.8
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"55-64 years"	"55-64"	"Male"	"M"	134	1318805	10.2
	"Other synthetic narcotics"	"T40.4"	"Rhode Island"	"44"	"65-74 years"	"65-74"	"Male"	"M"	23	820273	2.8
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"15-24 years"	"15-24"	"Female"	"F"	103	6852606	1.5
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"15-24 years"	"15-24"	"Male"	"M"	244	7172956	3.4
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"25-34 years"	"25-34"	"Female"	"F"	266	6684145	4.0
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"25-34 years"	"25-34"	"Male"	"M"	688	6566235	10.5
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"35-44 years"	"35-44"	"Female"	"F"	309	6852314	4.5
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"35-44 years"	"35-44"	"Male"	"M"	639	6570078	9.7
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"45-54 years"	"45-54"	"Female"	"F"	321	7114029	4.5
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"45-54 years"	"45-54"	"Male"	"M"	482	6636246	7.3
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"55-64 years"	"55-64"	"Female"	"F"	200	6420086	3.1
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"55-64 years"	"55-64"	"Male"	"M"	283	5741887	4.9
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"65-74 years"	"65-74"	"Female"	"F"	48	4645136	1.0
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"65-74 years"	"65-74"	"Male"	"M"	43	3980428	1.1
	"Other synthetic narcotics"	"T40.4"	"South Carolina"	"45"	"75-84 years"	"75-84"	"Female"	"F"	10	2613668	Unreliable
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"15-24 years"	"15-24"	"Female"	"F"	10	1249272	Unreliable
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"15-24 years"	"15-24"	"Male"	"M"	19	1337663	Unreliable
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"25-34 years"	"25-34"	"Female"	"F"	24	1090103	2.2
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"25-34 years"	"25-34"	"Male"	"M"	39	1166766	3.3
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"35-44 years"	"35-44"	"Female"	"F"	22	1097835	2.0
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"35-44 years"	"35-44"	"Male"	"M"	31	1143043	2.7
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"45-54 years"	"45-54"	"Female"	"F"	17	1160839	Unreliable
	"Other synthetic narcotics"	"T40.4"	"South Dakota"	"46"	"45-54 years"	"45-54"	"Male"	"M"	17	1189457	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"15-24 years"	"15-24"	"Female"	"F"	178	9177916	1.9
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"15-24 years"	"15-24"	"Male"	"M"	383	9449867	4.1
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"25-34 years"	"25-34"	"Female"	"F"	604	9362548	6.5
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"25-34 years"	"25-34"	"Male"	"M"	1214	9262051	13.1
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"35-44 years"	"35-44"	"Female"	"F"	591	9626068	6.1
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"35-44 years"	"35-44"	"Male"	"M"	1146	9366822	12.2
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"45-54 years"	"45-54"	"Female"	"F"	545	9856013	5.5
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"45-54 years"	"45-54"	"Male"	"M"	858	9379128	9.1
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"55-64 years"	"55-64"	"Female"	"F"	278	8550427	3.3
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"55-64 years"	"55-64"	"Male"	"M"	420	7854820	5.3
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"65-74 years"	"65-74"	"Female"	"F"	52	6000857	0.9
	"Other synthetic narcotics"	"T40.4"	"Tennessee"	"47"	"65-74 years"	"65-74"	"Male"	"M"	71	5156779	1.4
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"15-24 years"	"15-24"	"Female"	"F"	127	39184836	0.3
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"15-24 years"	"15-24"	"Male"	"M"	398	41650168	1.0
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"25-34 years"	"25-34"	"Female"	"F"	302	39595957	0.8
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"25-34 years"	"25-34"	"Male"	"M"	717	40681087	1.8
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"35-44 years"	"35-44"	"Female"	"F"	394	38852203	1.0
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"35-44 years"	"35-44"	"Male"	"M"	587	38853783	1.5
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"45-54 years"	"45-54"	"Female"	"F"	527	36004945	1.5
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"45-54 years"	"45-54"	"Male"	"M"	442	35373147	1.2
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"55-64 years"	"55-64"	"Female"	"F"	311	28396814	1.1
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"55-64 years"	"55-64"	"Male"	"M"	278	26676317	1.0
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"65-74 years"	"65-74"	"Female"	"F"	113	18531133	0.6
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"65-74 years"	"65-74"	"Male"	"M"	49	16084295	0.3
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"75-84 years"	"75-84"	"Female"	"F"	20	10829072	0.2
	"Other synthetic narcotics"	"T40.4"	"Texas"	"48"	"75-84 years"	"75-84"	"Male"	"M"	11	7881606	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"15-24 years"	"15-24"	"Female"	"F"	31	5063216	0.6
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"15-24 years"	"15-24"	"Male"	"M"	58	5201379	1.1
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"25-34 years"	"25-34"	"Female"	"F"	105	4444317	2.4
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"25-34 years"	"25-34"	"Male"	"M"	161	4647008	3.5
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"35-44 years"	"35-44"	"Female"	"F"	130	3784495	3.4
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"35-44 years"	"35-44"	"Male"	"M"	148	3915934	3.8
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"45-54 years"	"45-54"	"Female"	"F"	152	3221093	4.7
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"45-54 years"	"45-54"	"Male"	"M"	116	3236903	3.6
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"55-64 years"	"55-64"	"Female"	"F"	94	2580506	3.6
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"55-64 years"	"55-64"	"Male"	"M"	78	2489407	3.1
	"Other synthetic narcotics"	"T40.4"	"Utah"	"49"	"65-74 years"	"65-74"	"Female"	"F"	21	1702820	1.2
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"15-24 years"	"15-24"	"Female"	"F"	16	951748	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"15-24 years"	"15-24"	"Male"	"M"	33	1010192	3.3
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"25-34 years"	"25-34"	"Female"	"F"	57	782513	7.3
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"25-34 years"	"25-34"	"Male"	"M"	159	783315	20.3
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"35-44 years"	"35-44"	"Female"	"F"	57	924121	6.2
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"35-44 years"	"35-44"	"Male"	"M"	123	895945	13.7
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"45-54 years"	"45-54"	"Female"	"F"	50	1057732	4.7
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"45-54 years"	"45-54"	"Male"	"M"	94	1021194	9.2
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"55-64 years"	"55-64"	"Female"	"F"	21	926291	2.3
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"55-64 years"	"55-64"	"Male"	"M"	38	899801	4.2
	"Other synthetic narcotics"	"T40.4"	"Vermont"	"50"	"65-74 years"	"65-74"	"Male"	"M"	10	563738	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"15-24 years"	"15-24"	"Female"	"F"	170	11651489	1.5
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"15-24 years"	"15-24"	"Male"	"M"	418	12336235	3.4
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"25-34 years"	"25-34"	"Female"	"F"	543	12003260	4.5
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"25-34 years"	"25-34"	"Male"	"M"	1323	12162483	10.9
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"35-44 years"	"35-44"	"Female"	"F"	581	12627520	4.6
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"35-44 years"	"35-44"	"Male"	"M"	1183	12353961	9.6
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"45-54 years"	"45-54"	"Female"	"F"	469	12704315	3.7
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"45-54 years"	"45-54"	"Male"	"M"	860	12162750	7.1
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"55-64 years"	"55-64"	"Female"	"F"	240	10415869	2.3
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"55-64 years"	"55-64"	"Male"	"M"	461	9677385	4.8
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"65-74 years"	"65-74"	"Female"	"F"	50	6870556	0.7
	"Other synthetic narcotics"	"T40.4"	"Virginia"	"51"	"65-74 years"	"65-74"	"Male"	"M"	71	5931139	1.2
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"15-24 years"	"15-24"	"Female"	"F"	74	9620777	0.8
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"15-24 years"	"15-24"	"Male"	"M"	266	10289466	2.6
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"25-34 years"	"25-34"	"Female"	"F"	133	10278203	1.3
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"25-34 years"	"25-34"	"Male"	"M"	358	10793418	3.3
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"35-44 years"	"35-44"	"Female"	"F"	179	10322013	1.7
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"35-44 years"	"35-44"	"Male"	"M"	342	10559674	3.2
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"45-54 years"	"45-54"	"Female"	"F"	242	10323886	2.3
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"45-54 years"	"45-54"	"Male"	"M"	242	10286172	2.4
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"55-64 years"	"55-64"	"Female"	"F"	181	8733511	2.1
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"55-64 years"	"55-64"	"Male"	"M"	165	8398070	2.0
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"65-74 years"	"65-74"	"Female"	"F"	50	5673547	0.9
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"65-74 years"	"65-74"	"Male"	"M"	36	5154339	0.7
	"Other synthetic narcotics"	"T40.4"	"Washington"	"53"	"75-84 years"	"75-84"	"Female"	"F"	13	3352799	Unreliable
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"15-24 years"	"15-24"	"Female"	"F"	96	2530316	3.8
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"15-24 years"	"15-24"	"Male"	"M"	174	2662328	6.5
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"25-34 years"	"25-34"	"Female"	"F"	387	2393732	16.2
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"25-34 years"	"25-34"	"Male"	"M"	882	2457924	35.9
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"35-44 years"	"35-44"	"Female"	"F"	416	2638129	15.8
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"35-44 years"	"35-44"	"Male"	"M"	906	2636273	34.4
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"45-54 years"	"45-54"	"Female"	"F"	338	2918137	11.6
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"45-54 years"	"45-54"	"Male"	"M"	680	2879101	23.6
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"55-64 years"	"55-64"	"Female"	"F"	160	2703954	5.9
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"55-64 years"	"55-64"	"Male"	"M"	329	2598194	12.7
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"65-74 years"	"65-74"	"Female"	"F"	21	2012169	1.0
	"Other synthetic narcotics"	"T40.4"	"West Virginia"	"54"	"65-74 years"	"65-74"	"Male"	"M"	56	1790090	3.1
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"15-24 years"	"15-24"	"Female"	"F"	103	8481548	1.2
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"15-24 years"	"15-24"	"Male"	"M"	222	8855174	2.5
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"25-34 years"	"25-34"	"Female"	"F"	343	7679782	4.5
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"25-34 years"	"25-34"	"Male"	"M"	777	7994365	9.7
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"35-44 years"	"35-44"	"Female"	"F"	326	8325092	3.9
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"35-44 years"	"35-44"	"Male"	"M"	722	8463243	8.5
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"45-54 years"	"45-54"	"Female"	"F"	300	8796981	3.4
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"45-54 years"	"45-54"	"Male"	"M"	524	8842457	5.9
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"55-64 years"	"55-64"	"Female"	"F"	188	7411979	2.5
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"55-64 years"	"55-64"	"Male"	"M"	316	7273890	4.3
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"65-74 years"	"65-74"	"Female"	"F"	30	5006633	0.6
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"65-74 years"	"65-74"	"Male"	"M"	51	4551650	1.1
	"Other synthetic narcotics"	"T40.4"	"Wisconsin"	"55"	"75-84 years"	"75-84"	"Female"	"F"	11	3356219	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"15-24 years"	"15-24"	"Male"	"M"	13	900622	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"25-34 years"	"25-34"	"Female"	"F"	13	757688	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"25-34 years"	"25-34"	"Male"	"M"	23	820397	2.8
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"35-44 years"	"35-44"	"Female"	"F"	10	759648	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"35-44 years"	"35-44"	"Male"	"M"	22	799201	2.8
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"45-54 years"	"45-54"	"Female"	"F"	18	825725	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"45-54 years"	"45-54"	"Male"	"M"	19	855029	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"55-64 years"	"55-64"	"Female"	"F"	13	728149	Unreliable
	"Other synthetic narcotics"	"T40.4"	"Wyoming"	"56"	"55-64 years"	"55-64"	"Male"	"M"	10	755499	Unreliable
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: T40.4 (Other synthetic narcotics)"
"UCD - Drug/Alcohol Induced Causes: Drug-induced causes"
"Group By: Multiple Cause of death; State; Ten-Year Age Groups; Gender"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Jun 22, 2022 7:57:03 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Jun 22, 2022 7:57:03 AM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies."
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies."
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies."
"5. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Assurance of Confidentiality."
"6. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Unreliable."
"7. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Not Stated."
"8. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
